burnout,horas_semana,velocidad_alta,plazos_ajustados,demanda_emocional,presentismo,autonomia,apoyo_jefe,apoyo_companeros,reconocimiento,conciliacion,bienestar_who5,tamanio_empresa,sector,nivel_educativo,genero,teletrabajo,tipo_contrato,ocupacion_isco,edad,burnout_bin
,48.0,4.0,4.0,2.0,1.0,,4.0,4.0,4.0,4.0,64.0,4.0,2,5.0,1,4.0,1.0,3,40.0,
2.0,40.0,3.0,5.0,2.0,1.0,2.33,,4.0,5.0,5.0,44.0,4.0,2,5.0,1,1.0,1.0,7,49.0,0.0
,40.0,3.0,2.0,1.0,2.0,4.0,5.0,4.0,5.0,4.0,64.0,3.0,2,4.0,1,2.0,1.0,4,45.0,
,22.0,3.0,3.0,2.0,2.0,3.67,,5.0,4.0,4.0,76.0,4.0,2,3.0,1,1.0,1.0,8,50.0,
,40.0,2.0,3.0,2.0,2.0,4.33,,5.0,5.0,4.0,100.0,2.0,2,3.0,1,4.0,1.0,3,34.0,
1.0,40.0,3.0,3.0,3.0,2.0,3.33,3.0,3.0,3.0,5.0,32.0,3.0,2,5.0,2,2.0,1.0,4,28.0,1.0
2.0,40.0,2.0,3.0,3.0,2.0,4.0,,5.0,5.0,5.0,84.0,4.0,2,5.0,1,3.0,1.0,3,60.0,0.0
2.0,40.0,3.0,1.0,3.0,2.0,,5.0,3.0,3.0,5.0,76.0,5.0,2,6.0,1,5.0,2.0,3,30.0,0.0
2.0,40.0,1.0,1.0,2.0,2.0,3.67,,3.0,4.0,4.0,88.0,4.0,2,5.0,2,2.0,1.0,3,50.0,0.0
,35.0,4.0,3.0,3.0,2.0,,4.0,5.0,4.0,5.0,84.0,6.0,2,6.0,2,2.0,1.0,4,42.0,
,45.0,5.0,5.0,1.0,2.0,5.0,,5.0,5.0,5.0,72.0,5.0,2,5.0,2,6.0,1.0,5,48.0,
2.0,40.0,4.0,4.0,2.0,2.0,3.33,2.0,5.0,2.0,3.0,20.0,1.0,2,7.0,1,3.0,1.0,3,48.0,0.0
,50.0,2.0,3.0,3.0,2.0,,,,5.0,4.0,92.0,2.0,2,5.0,1,1.0,,5,55.0,
4.0,72.0,4.0,2.0,2.0,2.0,5.0,,,4.0,2.0,44.0,2.0,2,5.0,2,1.0,,5,30.0,1.0
,27.0,5.0,5.0,1.0,2.0,4.0,5.0,4.0,5.0,4.0,84.0,4.0,2,3.0,2,1.0,2.0,5,58.0,
2.0,20.0,3.0,3.0,3.0,1.0,,5.0,,5.0,4.0,56.0,2.0,2,2.0,2,1.0,,5,48.0,0.0
3.0,48.0,4.0,4.0,2.0,2.0,,5.0,5.0,5.0,4.0,68.0,8.0,2,6.0,2,6.0,1.0,2,43.0,1.0
2.0,35.0,1.0,1.0,5.0,2.0,4.67,5.0,5.0,4.0,4.0,80.0,6.0,2,5.0,1,2.0,1.0,5,32.0,0.0
3.0,24.0,4.0,4.0,1.0,2.0,,5.0,5.0,4.0,4.0,56.0,4.0,2,4.0,1,2.0,2.0,9,28.0,1.0
2.0,40.0,3.0,3.0,3.0,1.0,1.67,,,5.0,5.0,80.0,2.0,2,3.0,2,1.0,,5,57.0,0.0
2.0,40.0,4.0,5.0,4.0,1.0,2.67,,4.0,4.0,2.0,64.0,6.0,2,8.0,1,5.0,1.0,2,28.0,0.0
,40.0,2.0,2.0,3.0,1.0,,,,2.0,4.0,52.0,1.0,2,7.0,2,1.0,,5,38.0,
2.0,35.0,4.0,3.0,1.0,2.0,3.67,,4.0,5.0,4.0,76.0,4.0,2,7.0,2,4.0,1.0,1,50.0,0.0
2.0,40.0,3.0,2.0,2.0,2.0,,5.0,5.0,5.0,4.0,88.0,4.0,2,3.0,2,1.0,1.0,3,47.0,0.0
4.0,60.0,3.0,3.0,3.0,1.0,3.0,,,1.0,4.0,72.0,3.0,2,5.0,1,1.0,,8,37.0,1.0
,40.0,4.0,1.0,1.0,1.0,,4.0,2.0,5.0,4.0,72.0,4.0,2,3.0,2,2.0,2.0,9,36.0,
,30.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,48.0,3.0,2,8.0,2,2.0,1.0,5,34.0,
3.0,40.0,5.0,5.0,5.0,2.0,3.0,,,1.0,3.0,76.0,2.0,2,1.0,2,1.0,,5,37.0,1.0
4.0,44.0,3.0,5.0,1.0,1.0,3.0,,,4.0,4.0,48.0,1.0,2,5.0,2,1.0,,5,59.0,1.0
1.0,47.0,3.0,4.0,1.0,2.0,3.67,,5.0,4.0,5.0,40.0,5.0,2,6.0,1,3.0,1.0,3,41.0,1.0
,30.0,3.0,5.0,2.0,2.0,,,,5.0,5.0,60.0,4.0,2,7.0,2,1.0,,4,51.0,
,25.0,3.0,3.0,2.0,2.0,,,5.0,5.0,3.0,64.0,2.0,2,7.0,1,2.0,1.0,5,40.0,
,40.0,3.0,1.0,2.0,2.0,3.0,5.0,5.0,5.0,3.0,80.0,4.0,2,4.0,2,2.0,1.0,5,45.0,
,40.0,3.0,2.0,1.0,2.0,,5.0,5.0,5.0,3.0,80.0,2.0,2,6.0,1,6.0,1.0,4,50.0,
2.0,40.0,3.0,1.0,1.0,2.0,,,,4.0,4.0,72.0,2.0,2,5.0,2,1.0,,1,29.0,0.0
2.0,30.0,2.0,2.0,1.0,2.0,,4.0,5.0,5.0,5.0,80.0,4.0,2,5.0,2,1.0,1.0,5,46.0,0.0
,30.0,3.0,3.0,4.0,2.0,5.0,,4.0,4.0,4.0,40.0,4.0,2,4.0,2,1.0,1.0,5,45.0,
,40.0,5.0,1.0,2.0,1.0,3.0,,5.0,5.0,5.0,100.0,4.0,2,3.0,1,1.0,1.0,9,33.0,
3.0,40.0,5.0,5.0,4.0,1.0,2.0,,4.0,1.0,2.0,40.0,4.0,2,3.0,2,2.0,1.0,5,62.0,1.0
,42.0,5.0,3.0,2.0,1.0,,5.0,5.0,4.0,4.0,72.0,4.0,2,4.0,1,1.0,1.0,5,26.0,
,40.0,3.0,1.0,3.0,2.0,,,5.0,1.0,5.0,76.0,2.0,2,6.0,1,2.0,1.0,5,27.0,
,50.0,5.0,5.0,5.0,1.0,1.67,,5.0,4.0,4.0,68.0,4.0,2,5.0,1,1.0,1.0,8,21.0,
4.0,70.0,4.0,4.0,1.0,2.0,,,,2.0,2.0,52.0,1.0,2,6.0,1,1.0,,3,46.0,1.0
,40.0,1.0,1.0,1.0,2.0,5.0,,,5.0,5.0,100.0,4.0,2,4.0,2,1.0,,5,56.0,
2.0,40.0,4.0,5.0,1.0,2.0,,4.0,5.0,1.0,5.0,68.0,3.0,2,8.0,2,2.0,2.0,5,27.0,0.0
4.0,52.0,5.0,4.0,3.0,2.0,3.33,,3.0,1.0,4.0,28.0,4.0,2,4.0,2,4.0,1.0,4,42.0,1.0
,36.0,4.0,5.0,4.0,2.0,,5.0,5.0,5.0,5.0,88.0,8.0,2,6.0,1,2.0,1.0,2,64.0,
2.0,45.0,5.0,5.0,5.0,2.0,,5.0,5.0,4.0,5.0,88.0,4.0,2,5.0,1,3.0,1.0,3,41.0,0.0
3.0,70.0,5.0,5.0,5.0,1.0,5.0,,,5.0,3.0,100.0,2.0,2,4.0,1,1.0,,1,53.0,1.0
2.0,40.0,4.0,3.0,2.0,2.0,3.67,2.0,2.0,1.0,4.0,32.0,3.0,2,8.0,2,4.0,1.0,2,44.0,0.0
,40.0,5.0,5.0,3.0,1.0,2.0,,4.0,1.0,4.0,44.0,6.0,2,5.0,2,3.0,2.0,5,31.0,
2.0,40.0,4.0,3.0,3.0,2.0,4.67,,5.0,5.0,4.0,100.0,4.0,2,4.0,1,3.0,1.0,4,34.0,0.0
4.0,40.0,3.0,2.0,1.0,2.0,5.0,,5.0,5.0,5.0,96.0,2.0,2,7.0,2,2.0,1.0,5,27.0,1.0
3.0,7.0,5.0,4.0,5.0,1.0,3.33,,4.0,1.0,2.0,52.0,4.0,2,4.0,2,2.0,1.0,5,28.0,1.0
2.0,30.0,2.0,2.0,2.0,2.0,4.67,,,4.0,4.0,76.0,1.0,2,5.0,1,1.0,,5,22.0,0.0
2.0,35.0,2.0,3.0,2.0,2.0,5.0,,5.0,5.0,4.0,64.0,2.0,2,4.0,2,4.0,1.0,5,35.0,0.0
2.0,50.0,4.0,3.0,4.0,2.0,3.67,,,4.0,4.0,80.0,1.0,2,8.0,2,1.0,,1,51.0,0.0
4.0,72.0,2.0,1.0,1.0,1.0,1.33,,,5.0,4.0,32.0,3.0,2,4.0,1,1.0,,7,57.0,1.0
4.0,40.0,2.0,3.0,1.0,1.0,,,,2.0,3.0,64.0,4.0,2,4.0,1,1.0,,1,70.0,1.0
,40.0,2.0,3.0,3.0,2.0,,,,5.0,4.0,48.0,2.0,2,2.0,2,1.0,,5,45.0,
2.0,40.0,3.0,3.0,1.0,2.0,,5.0,5.0,5.0,5.0,72.0,5.0,2,5.0,1,2.0,1.0,4,52.0,0.0
3.0,40.0,5.0,5.0,3.0,1.0,1.0,,4.0,1.0,2.0,52.0,6.0,2,3.0,1,1.0,1.0,9,49.0,1.0
,40.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,4.0,76.0,8.0,2,7.0,1,3.0,1.0,2,45.0,
,50.0,4.0,4.0,3.0,2.0,,,,3.0,4.0,36.0,2.0,2,5.0,2,1.0,,5,43.0,
,30.0,3.0,5.0,2.0,2.0,4.67,,5.0,4.0,3.0,84.0,4.0,2,6.0,2,2.0,1.0,2,39.0,
,40.0,2.0,2.0,3.0,2.0,,4.0,4.0,3.0,4.0,36.0,2.0,2,6.0,2,2.0,2.0,5,34.0,
,30.0,3.0,5.0,1.0,1.0,,4.0,4.0,5.0,2.0,76.0,4.0,2,4.0,1,1.0,2.0,5,24.0,
,22.0,3.0,3.0,2.0,2.0,,5.0,4.0,5.0,5.0,44.0,3.0,2,6.0,2,4.0,1.0,4,41.0,
4.0,40.0,3.0,3.0,1.0,1.0,,,,3.0,4.0,92.0,2.0,2,6.0,1,1.0,,2,45.0,1.0
1.0,40.0,4.0,4.0,2.0,2.0,3.0,,5.0,1.0,4.0,56.0,4.0,2,6.0,2,3.0,1.0,2,31.0,1.0
2.0,40.0,4.0,2.0,1.0,2.0,2.0,,4.0,1.0,4.0,96.0,5.0,2,3.0,1,1.0,2.0,7,33.0,0.0
2.0,40.0,1.0,2.0,3.0,2.0,3.67,,,5.0,4.0,56.0,1.0,2,5.0,1,2.0,1.0,5,40.0,0.0
,15.0,2.0,2.0,1.0,2.0,4.0,,5.0,5.0,5.0,60.0,2.0,2,4.0,2,2.0,1.0,5,31.0,
2.0,42.0,5.0,5.0,4.0,1.0,,4.0,4.0,4.0,5.0,72.0,4.0,2,7.0,2,6.0,1.0,3,48.0,0.0
2.0,50.0,5.0,5.0,4.0,1.0,3.0,,5.0,5.0,4.0,96.0,6.0,2,5.0,1,5.0,1.0,3,50.0,0.0
,24.0,2.0,1.0,1.0,2.0,3.67,,5.0,5.0,4.0,68.0,2.0,2,4.0,2,1.0,1.0,5,53.0,
,40.0,3.0,1.0,1.0,2.0,,,5.0,4.0,3.0,52.0,3.0,2,4.0,2,1.0,1.0,5,38.0,
,19.0,4.0,1.0,2.0,2.0,,5.0,5.0,5.0,5.0,92.0,2.0,2,3.0,2,1.0,2.0,5,36.0,
4.0,40.0,4.0,2.0,2.0,1.0,,3.0,4.0,5.0,2.0,84.0,4.0,2,3.0,1,1.0,2.0,9,25.0,1.0
2.0,20.0,4.0,2.0,5.0,2.0,3.67,,4.0,5.0,4.0,56.0,3.0,2,5.0,2,2.0,2.0,5,21.0,0.0
,56.0,3.0,3.0,1.0,2.0,4.33,,,4.0,5.0,68.0,2.0,2,8.0,1,1.0,,2,50.0,
,40.0,3.0,3.0,3.0,2.0,4.0,5.0,5.0,2.0,4.0,68.0,4.0,2,7.0,2,5.0,1.0,3,46.0,
2.0,40.0,3.0,5.0,1.0,2.0,4.67,,4.0,5.0,4.0,92.0,4.0,2,4.0,2,4.0,1.0,4,50.0,0.0
,16.0,5.0,4.0,2.0,1.0,1.0,,,2.0,2.0,72.0,2.0,2,5.0,1,1.0,,5,60.0,
4.0,45.0,5.0,4.0,3.0,2.0,3.67,,5.0,5.0,3.0,96.0,4.0,2,5.0,1,6.0,1.0,5,56.0,1.0
3.0,30.0,4.0,5.0,2.0,1.0,,1.0,1.0,1.0,5.0,52.0,4.0,2,8.0,1,3.0,1.0,3,34.0,1.0
2.0,40.0,5.0,5.0,2.0,2.0,,3.0,5.0,5.0,2.0,36.0,6.0,2,5.0,2,1.0,1.0,9,40.0,0.0
,60.0,5.0,2.0,4.0,2.0,,5.0,5.0,5.0,3.0,68.0,2.0,2,5.0,1,2.0,1.0,5,22.0,
2.0,60.0,4.0,4.0,1.0,1.0,5.0,,,4.0,3.0,84.0,1.0,2,5.0,2,1.0,,3,54.0,0.0
,28.0,1.0,5.0,3.0,2.0,5.0,,4.0,4.0,2.0,64.0,2.0,2,3.0,2,1.0,1.0,5,60.0,
4.0,20.0,1.0,1.0,2.0,2.0,5.0,5.0,5.0,4.0,2.0,48.0,4.0,2,7.0,1,1.0,2.0,3,44.0,1.0
2.0,40.0,4.0,4.0,3.0,2.0,3.0,,4.0,2.0,3.0,24.0,6.0,2,7.0,2,3.0,1.0,2,25.0,0.0
,22.0,3.0,3.0,2.0,2.0,,5.0,5.0,2.0,4.0,76.0,3.0,2,7.0,2,2.0,1.0,3,29.0,
2.0,39.0,3.0,3.0,2.0,2.0,,5.0,5.0,5.0,5.0,72.0,3.0,2,4.0,2,1.0,1.0,9,35.0,0.0
,8.0,1.0,1.0,1.0,2.0,2.33,,,5.0,4.0,84.0,2.0,2,1.0,1,1.0,,5,40.0,
,40.0,1.0,1.0,1.0,2.0,2.67,,5.0,4.0,4.0,52.0,4.0,2,3.0,1,1.0,1.0,9,52.0,
,40.0,3.0,1.0,3.0,2.0,,4.0,5.0,3.0,5.0,84.0,3.0,2,5.0,1,2.0,2.0,5,40.0,
,40.0,5.0,5.0,1.0,2.0,,5.0,4.0,5.0,4.0,60.0,4.0,2,3.0,2,1.0,1.0,5,40.0,
2.0,20.0,4.0,2.0,2.0,2.0,2.67,,5.0,4.0,5.0,72.0,2.0,2,8.0,1,2.0,2.0,5,23.0,0.0
3.0,42.0,5.0,5.0,4.0,2.0,2.67,1.0,2.0,1.0,3.0,36.0,4.0,2,5.0,1,1.0,1.0,5,40.0,1.0
2.0,40.0,4.0,2.0,1.0,2.0,4.33,,5.0,2.0,5.0,84.0,4.0,2,3.0,1,1.0,1.0,7,31.0,0.0
4.0,40.0,4.0,5.0,3.0,2.0,,3.0,4.0,4.0,4.0,36.0,4.0,2,5.0,1,2.0,1.0,9,46.0,1.0
2.0,30.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,60.0,4.0,2,5.0,2,1.0,1.0,5,25.0,0.0
2.0,50.0,3.0,4.0,3.0,2.0,4.0,,,4.0,3.0,84.0,3.0,2,5.0,1,1.0,,5,59.0,0.0
2.0,44.0,4.0,5.0,3.0,2.0,4.0,,5.0,5.0,4.0,60.0,4.0,2,8.0,1,6.0,1.0,2,29.0,0.0
2.0,30.0,3.0,4.0,1.0,2.0,5.0,,5.0,4.0,4.0,76.0,3.0,2,7.0,2,2.0,1.0,5,27.0,0.0
,40.0,3.0,3.0,2.0,2.0,5.0,,,5.0,4.0,72.0,2.0,2,7.0,2,1.0,,5,56.0,
2.0,20.0,1.0,1.0,2.0,2.0,,5.0,5.0,5.0,5.0,72.0,2.0,2,7.0,2,1.0,1.0,5,22.0,0.0
2.0,40.0,3.0,1.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,76.0,2.0,2,3.0,2,2.0,,5,31.0,0.0
,40.0,4.0,1.0,1.0,2.0,,1.0,3.0,3.0,4.0,76.0,3.0,2,2.0,2,1.0,1.0,7,60.0,
,40.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,100.0,2.0,2,4.0,2,1.0,2.0,5,27.0,
2.0,20.0,5.0,3.0,3.0,1.0,3.67,,,4.0,4.0,76.0,2.0,2,8.0,1,1.0,,5,49.0,0.0
,40.0,3.0,3.0,3.0,2.0,,3.0,5.0,1.0,3.0,64.0,4.0,2,3.0,2,2.0,1.0,5,34.0,
2.0,40.0,2.0,2.0,1.0,2.0,5.0,5.0,4.0,5.0,5.0,80.0,3.0,2,5.0,2,4.0,1.0,4,39.0,0.0
,40.0,3.0,1.0,2.0,2.0,,4.0,5.0,5.0,5.0,76.0,4.0,2,4.0,1,1.0,1.0,9,30.0,
,33.0,4.0,3.0,3.0,2.0,2.33,3.0,5.0,2.0,4.0,64.0,3.0,2,5.0,2,1.0,1.0,9,49.0,
4.0,50.0,5.0,5.0,2.0,2.0,5.0,,,5.0,5.0,76.0,2.0,2,5.0,2,1.0,,5,24.0,1.0
4.0,33.0,3.0,2.0,2.0,2.0,4.33,,5.0,5.0,3.0,68.0,2.0,2,4.0,1,6.0,1.0,5,22.0,1.0
2.0,40.0,2.0,2.0,3.0,2.0,3.33,4.0,,4.0,4.0,72.0,2.0,2,5.0,2,2.0,1.0,3,44.0,0.0
1.0,40.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,64.0,4.0,2,6.0,2,1.0,1.0,9,52.0,1.0
,40.0,5.0,2.0,3.0,2.0,1.67,,4.0,1.0,4.0,64.0,6.0,2,8.0,1,3.0,1.0,3,32.0,
,20.0,5.0,2.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,20.0,2.0,2,6.0,2,4.0,1.0,3,39.0,
2.0,30.0,2.0,1.0,1.0,2.0,3.0,,4.0,5.0,5.0,84.0,6.0,2,6.0,2,2.0,2.0,5,29.0,0.0
,40.0,3.0,2.0,3.0,2.0,1.67,3.0,5.0,4.0,4.0,80.0,4.0,2,3.0,2,1.0,2.0,7,44.0,
,50.0,4.0,4.0,3.0,2.0,3.33,,4.0,2.0,4.0,24.0,6.0,2,8.0,2,3.0,1.0,2,48.0,
,40.0,5.0,4.0,2.0,2.0,4.0,,,5.0,4.0,60.0,2.0,2,6.0,1,1.0,,5,50.0,
2.0,40.0,3.0,1.0,2.0,1.0,3.33,,,1.0,4.0,28.0,1.0,2,4.0,2,1.0,,5,36.0,0.0
,40.0,5.0,5.0,1.0,1.0,4.33,4.0,5.0,2.0,4.0,88.0,3.0,2,7.0,2,4.0,1.0,1,52.0,
2.0,40.0,3.0,1.0,1.0,2.0,5.0,,,5.0,5.0,80.0,1.0,2,3.0,1,1.0,,5,58.0,0.0
,42.0,4.0,2.0,1.0,2.0,,3.0,4.0,5.0,4.0,88.0,4.0,2,4.0,1,2.0,1.0,5,49.0,
,48.0,3.0,3.0,3.0,2.0,,4.0,4.0,4.0,3.0,80.0,2.0,2,4.0,2,2.0,1.0,5,40.0,
2.0,24.0,3.0,1.0,2.0,2.0,3.0,,4.0,5.0,5.0,72.0,3.0,2,3.0,2,2.0,1.0,5,30.0,0.0
2.0,20.0,2.0,1.0,2.0,2.0,2.33,,5.0,5.0,5.0,88.0,2.0,2,5.0,1,2.0,1.0,5,31.0,0.0
,40.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,80.0,4.0,2,5.0,2,2.0,1.0,4,55.0,
,12.0,3.0,3.0,2.0,2.0,3.0,,,3.0,5.0,84.0,2.0,2,3.0,2,1.0,,2,58.0,
2.0,40.0,3.0,3.0,4.0,2.0,4.67,4.0,4.0,5.0,5.0,76.0,6.0,2,6.0,2,5.0,1.0,3,48.0,0.0
2.0,40.0,3.0,3.0,1.0,2.0,2.0,,5.0,3.0,3.0,84.0,4.0,2,5.0,1,1.0,2.0,5,29.0,0.0
,20.0,3.0,2.0,1.0,2.0,,5.0,4.0,5.0,5.0,64.0,4.0,2,5.0,2,2.0,1.0,4,37.0,
3.0,27.0,5.0,5.0,3.0,1.0,,2.0,4.0,1.0,4.0,64.0,4.0,2,5.0,2,5.0,1.0,1,38.0,1.0
,40.0,1.0,3.0,1.0,2.0,2.33,,5.0,5.0,5.0,96.0,3.0,2,6.0,1,1.0,1.0,3,54.0,
,6.0,1.0,5.0,1.0,2.0,,,,4.0,3.0,84.0,1.0,2,7.0,2,1.0,,2,49.0,
,16.0,5.0,2.0,1.0,2.0,4.33,5.0,5.0,4.0,5.0,100.0,4.0,2,7.0,2,2.0,3.0,9,39.0,
,65.0,5.0,5.0,1.0,1.0,2.67,,3.0,1.0,2.0,68.0,4.0,2,1.0,1,1.0,1.0,1,27.0,
,30.0,4.0,4.0,3.0,1.0,3.0,,5.0,5.0,5.0,64.0,3.0,2,5.0,2,2.0,2.0,5,28.0,
2.0,40.0,2.0,2.0,5.0,2.0,5.0,,5.0,4.0,3.0,68.0,2.0,2,5.0,2,2.0,1.0,5,30.0,0.0
,40.0,3.0,3.0,3.0,2.0,,,,5.0,4.0,68.0,2.0,2,3.0,1,1.0,,3,65.0,
,30.0,4.0,2.0,2.0,2.0,2.67,4.0,4.0,4.0,4.0,64.0,5.0,2,7.0,2,1.0,1.0,5,30.0,
4.0,38.0,5.0,3.0,3.0,2.0,,3.0,5.0,4.0,4.0,64.0,3.0,2,4.0,2,1.0,1.0,5,51.0,1.0
,60.0,1.0,2.0,2.0,2.0,5.0,,,5.0,4.0,100.0,1.0,2,6.0,2,1.0,,5,53.0,
,40.0,2.0,2.0,1.0,2.0,,,,5.0,4.0,68.0,2.0,2,4.0,1,1.0,,5,25.0,
,40.0,3.0,1.0,3.0,2.0,,4.0,4.0,1.0,5.0,44.0,4.0,2,5.0,2,1.0,2.0,5,32.0,
3.0,30.0,5.0,4.0,3.0,2.0,1.33,,4.0,4.0,4.0,28.0,4.0,2,4.0,2,1.0,1.0,5,35.0,1.0
,40.0,4.0,4.0,3.0,2.0,3.67,5.0,5.0,4.0,4.0,48.0,7.0,2,8.0,1,6.0,1.0,2,42.0,
,45.0,5.0,5.0,5.0,1.0,1.33,,,1.0,4.0,60.0,2.0,2,5.0,2,1.0,,5,49.0,
2.0,33.0,4.0,4.0,3.0,2.0,1.67,,4.0,5.0,3.0,40.0,3.0,2,5.0,2,1.0,1.0,5,36.0,0.0
4.0,50.0,3.0,5.0,3.0,2.0,2.0,,4.0,4.0,4.0,76.0,4.0,2,7.0,1,2.0,1.0,3,31.0,1.0
,60.0,4.0,2.0,4.0,1.0,2.67,,,1.0,2.0,72.0,1.0,2,5.0,2,1.0,,1,58.0,
1.0,42.0,3.0,1.0,3.0,1.0,,,,1.0,4.0,56.0,2.0,2,2.0,2,1.0,,5,37.0,1.0
2.0,24.0,3.0,3.0,2.0,1.0,4.33,,5.0,4.0,5.0,72.0,2.0,2,6.0,2,1.0,1.0,5,32.0,0.0
4.0,40.0,4.0,5.0,2.0,2.0,4.67,4.0,4.0,4.0,4.0,32.0,4.0,2,4.0,1,2.0,1.0,8,40.0,1.0
3.0,40.0,5.0,4.0,4.0,1.0,,5.0,3.0,4.0,4.0,52.0,4.0,2,4.0,2,2.0,1.0,5,38.0,1.0
,36.0,3.0,1.0,1.0,2.0,,5.0,5.0,4.0,5.0,40.0,3.0,2,4.0,2,1.0,2.0,5,26.0,
,36.0,3.0,1.0,4.0,2.0,,5.0,5.0,4.0,4.0,52.0,3.0,2,4.0,1,2.0,1.0,5,30.0,
4.0,40.0,5.0,5.0,5.0,2.0,3.33,4.0,3.0,2.0,3.0,76.0,5.0,2,5.0,2,1.0,2.0,5,38.0,1.0
2.0,40.0,3.0,3.0,1.0,2.0,4.33,,5.0,5.0,5.0,72.0,6.0,2,7.0,2,4.0,1.0,1,26.0,0.0
,39.0,2.0,1.0,1.0,2.0,,3.0,4.0,2.0,4.0,68.0,2.0,2,5.0,1,2.0,1.0,2,52.0,
,43.0,5.0,5.0,1.0,2.0,,4.0,2.0,1.0,2.0,68.0,7.0,2,5.0,1,2.0,1.0,4,53.0,
3.0,40.0,5.0,5.0,3.0,2.0,5.0,,,4.0,5.0,60.0,1.0,2,3.0,1,1.0,,5,53.0,1.0
,45.0,1.0,1.0,2.0,2.0,,4.0,5.0,4.0,4.0,40.0,4.0,2,5.0,2,2.0,2.0,5,24.0,
,30.0,1.0,3.0,1.0,2.0,,,,5.0,4.0,64.0,1.0,2,4.0,2,1.0,,5,50.0,
2.0,18.0,5.0,5.0,1.0,1.0,3.67,,1.0,5.0,3.0,56.0,4.0,2,5.0,2,2.0,3.0,9,45.0,0.0
,40.0,4.0,4.0,3.0,2.0,3.67,2.0,3.0,2.0,3.0,56.0,5.0,2,5.0,1,1.0,1.0,4,22.0,
3.0,30.0,4.0,4.0,1.0,2.0,3.33,5.0,5.0,5.0,5.0,20.0,2.0,2,7.0,3,1.0,5.0,7,28.0,1.0
,40.0,1.0,1.0,1.0,2.0,,5.0,5.0,3.0,5.0,100.0,8.0,2,2.0,1,2.0,2.0,7,33.0,
,40.0,4.0,2.0,1.0,2.0,3.0,5.0,5.0,4.0,4.0,80.0,3.0,2,3.0,1,2.0,1.0,7,29.0,
,40.0,3.0,1.0,2.0,1.0,2.0,2.0,5.0,4.0,3.0,20.0,4.0,2,5.0,2,2.0,1.0,5,42.0,
3.0,40.0,5.0,5.0,5.0,1.0,1.67,,5.0,2.0,3.0,48.0,4.0,2,7.0,2,2.0,1.0,4,48.0,1.0
2.0,25.0,3.0,1.0,1.0,2.0,3.67,5.0,5.0,5.0,5.0,84.0,3.0,2,8.0,2,2.0,1.0,4,67.0,0.0
4.0,40.0,5.0,1.0,2.0,2.0,,5.0,5.0,5.0,5.0,84.0,4.0,2,5.0,2,2.0,1.0,5,46.0,1.0
,55.0,4.0,4.0,1.0,2.0,4.0,4.0,5.0,5.0,3.0,28.0,5.0,2,4.0,2,4.0,1.0,4,53.0,
,40.0,3.0,1.0,1.0,2.0,,5.0,5.0,5.0,4.0,88.0,3.0,2,4.0,2,2.0,1.0,5,41.0,
,40.0,2.0,3.0,5.0,1.0,3.33,,,5.0,5.0,80.0,3.0,2,6.0,2,1.0,,2,23.0,
,40.0,4.0,4.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,60.0,4.0,2,8.0,1,1.0,2.0,9,27.0,
2.0,45.0,4.0,4.0,1.0,2.0,3.67,,3.0,3.0,3.0,84.0,6.0,2,8.0,1,6.0,1.0,2,26.0,0.0
2.0,40.0,2.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,80.0,3.0,2,5.0,1,2.0,1.0,5,55.0,0.0
2.0,25.0,3.0,3.0,2.0,1.0,4.0,,5.0,2.0,4.0,80.0,7.0,2,5.0,1,2.0,1.0,9,28.0,0.0
3.0,40.0,5.0,5.0,3.0,1.0,2.0,,4.0,1.0,3.0,72.0,7.0,2,6.0,1,2.0,1.0,7,43.0,1.0
,30.0,4.0,3.0,2.0,2.0,1.33,5.0,5.0,4.0,4.0,60.0,3.0,2,5.0,2,2.0,1.0,5,37.0,
,30.0,5.0,4.0,4.0,1.0,,4.0,3.0,3.0,3.0,68.0,3.0,2,6.0,2,1.0,2.0,9,30.0,
,40.0,2.0,4.0,2.0,2.0,4.67,5.0,5.0,5.0,4.0,64.0,8.0,2,7.0,3,3.0,1.0,2,28.0,
,40.0,1.0,1.0,3.0,2.0,3.67,,,1.0,4.0,68.0,1.0,2,4.0,2,1.0,,3,23.0,
,40.0,3.0,3.0,3.0,2.0,4.0,,5.0,5.0,5.0,44.0,4.0,2,5.0,2,4.0,1.0,5,34.0,
3.0,40.0,5.0,5.0,2.0,2.0,3.0,,3.0,4.0,5.0,56.0,4.0,2,5.0,1,2.0,1.0,4,35.0,1.0
,40.0,5.0,1.0,5.0,2.0,4.0,5.0,5.0,3.0,2.0,52.0,4.0,2,5.0,2,2.0,1.0,1,40.0,
,40.0,4.0,3.0,2.0,2.0,,5.0,5.0,5.0,4.0,68.0,4.0,2,3.0,2,1.0,1.0,7,46.0,
